date_from,date_to,count,avg_price,price_per_sqm_40,price_per_sqm_50,price_per_sqm_60,price_per_sqm_70,price_per_sqm_80,price_per_sqm_90,price_per_sqm_100,avg_sqm_price
2017-06-01,2017-07-01,8284,1672774.839,24214.65925,28272.2508,26614.31016666667,27673.896285714287,29450.26125,31995.345555555556,34031.413,28893.162329705217
2017-07-01,2017-08-01,9492,1731265.93,24547.8005,26873.3816,27993.105833333335,27673.896285714287,33704.187875,31995.345555555556,35917.3081,29815.003678514742
2017-08-01,2017-09-01,9594,1679586.35,24547.8005,26455.03,28105.902250000003,27316.34942857143,33168.7585625,38759.685,39417.9947,31110.217205867346
2017-09-01,2017-10-01,8913,1617250.8,24140.214874999998,26415.096400000002,27777.7815,26077.101000000002,33876.788062499996,39682.545000000006,36772.4917,30677.43121964286
2017-10-01,2017-11-01,4417,1617250.8,23584.9075,25471.7001,26504.94366666667,26184.06057142857,34366.5795,36238.39755555556,34097.0377,29492.518084807256
2017-11-01,2017-12-01,5473,1532033.25,26462.392499999998,28969.355999999996,25301.761249999996,25069.635,33600.274687499994,27700.399166666666,36944.285445,29149.729149880954
2017-12-01,2018-01-01,11257,1489971.6,26146.136250000003,29226.366,25533.8875,25467.565714285713,31518.629999999997,29505.534166666668,36284.118389999996,29097.46257442177
2018-01-01,2018-02-01,12529,1436314.3099999998,25716.336750000002,28051.580700000002,24841.914166666666,24559.97142857143,28794.036874999998,29130.855000000003,29083.0995,27168.2563457483
2018-02-01,2018-03-01,14435,1463414.5799999998,23712.397496625,26525.2,24616.078583333332,23712.73625,28794.036874999998,28295.941722222222,29177.72,26404.872989597225
2018-03-01,2018-04-01,7690,1485411.2000000002,23208.886870000002,26259.948000000004,24756.41124666667,23872.68,28348.807500000003,30356.617777777778,32360.744000000002,27023.44219920635
2018-04-01,2018-05-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-01,2018-06-01,9138,1477572.32,25725.5895,26385.22,26165.34316666667,24500.56142857143,24736.14375,32248.602222222224,29023.742000000002,26969.31458106576
2018-06-01,2018-07-01,17510,1503957.54,25890.497125,27968.333199999997,25505.712666666666,24689.027285714288,25065.959,30782.756666666668,27352.2405,26750.646634863948
2018-07-01,2018-08-01,17300,1519337.05,26243.0945,30079.1508,25644.567783333336,25254.424857142858,26715.035249999997,30131.2275,29005.525500000003,27581.860884353744
2018-08-01,2018-09-01,17665,1546961.36,25672.802812500002,30939.2272,27624.31,25651.145,27279.006125000004,32228.36166666667,33149.172,28934.860686309523
2018-09-01,2018-10-01,17051,1549267.38099,25246.8751875,31161.471,26912.179500000002,25726.30982142857,26760.559499999996,33050.045000000006,30982.5307188,28548.56724681837
2018-10-01,2018-11-01,17211,1549295.55,25880.2779375,31239.43209,25821.592500000002,24547.280142857144,26126.756774999998,32863.845,27605.6298,27726.402035051018
2018-11-01,2018-12-01,17279,1577464.56,28098.587475,32112.671400000003,25352.109,25754.52342857143,25704.221625,32863.845,26760.559500000003,28092.35963265306
2018-12-01,2019-01-01,15653,1577464.56,28133.7987375,32676.051600000003,25821.592500000002,26156.937857142857,25352.109,33646.317500000005,28028.164950000002,28544.996020663268
2019-01-01,2019-02-01,15574,1589041.08,27027.397125,32676.051600000003,25461.4425,25440.312857142857,25342.4655,34428.79,32602.7394,28997.028426020406
2019-02-01,2019-03-01,17674,1626016.2,27000.0,32520.324,25114.155000000002,25399.21132142857,26369.86275,33122.55222222222,34246.575,29110.382899092976
2019-03-01,2019-04-01,17896,1644204.98,27100.27,32520.324,25293.585333333333,25289.760535714282,27100.27,29350.107111111112,33875.3375,28647.09349716553
2019-04-01,2019-05-01,17626,1671159.1600000001,29683.372499999998,33261.458119999996,26363.23231666667,25334.183,27543.8026875,29316.911111111112,31536.3906,29005.621476468255
2019-05-01,2019-06-01,18169,1675461.47,28108.660625,34084.882000000005,28735.19124666667,26385.22,27519.895,28735.633333333335,31564.988,29304.924315000004
2019-06-01,2019-07-01,18526,1697612.8,29296.878749999996,33723.96265,30946.06666666667,26525.200000000004,28320.316125,27777.781333333332,32552.0875,29877.470432142854
2019-07-01,2019-08-01,17779,1696428.3,30598.96225,33593.7543,31037.41,26413.693857142858,30931.1175,31179.133333333335,32552.0875,30900.879820068025
2019-08-01,2019-09-01,14110,1725000.0,30612.24,33456.63,31143.705,26239.06285714286,30465.558750000004,32596.366666666665,31887.75,30914.473324829934
2019-09-01,2019-10-01,11629,1750000.0,30000.0,33750.0,31250.0,25535.714285714286,28750.0,31666.666666666668,37000.0,31136.054421768706
2019-10-01,2019-11-01,12227,1825000.0,31249.994999999995,36500.0,32520.32,27874.559999999998,31250.0,30894.303999999993,37750.0,32577.02557142857
2019-11-01,2019-12-01,14562,2105290.38,31920.8759375,41463.407999999996,35168.354499999994,31358.88,35082.553625,32520.32,37735.856,35035.749723214285
2019-12-01,2020-01-01,15400,2712080.0,37441.044625,42452.837999999996,39821.18883333333,38174.31285714286,36319.62,34839.93177777778,39312.27635,38337.316063321996
2020-01-01,2020-02-01,12941,3147700.4000000004,37869.45525,43583.544,43103.445,39056.999142857145,38438.264500000005,36261.628333333334,44794.198,40443.93346088436
2020-02-01,2020-03-01,12284,3548387.04,49154.81265,46774.192800000004,45977.008,40777.54385714286,44018.8165,37125.83182222222,53494.622800000005,45331.83263276644
2020-03-01,2020-04-01,13431,3763440.8000000003,60483.87000000001,49178.0817,47945.204999999994,44162.82571428572,47602.73925,41407.06317555556,54794.52,49367.75783426304
2020-04-01,2020-05-01,12877,3897849.4000000004,53287.670699999995,49315.068,47043.01,45009.78428571428,47602.73925,47789.724444444444,55896.9016137,49420.69975626554
2020-05-01,2020-06-01,13793,3629032.2,59744.62270000001,48387.096000000005,47043.01,45698.924,47715.053,47789.724444444444,55376.20879140001,50250.66270512064
2020-06-01,2020-07-01,14648,3678474.6,51989.887556,50059.952112,47043.01,48330.07142857143,50067.2035,46927.04222222222,53763.44,49740.08668839909
2020-07-01,2020-08-01,10114,4087194.0,51089.925,53994.4916,50862.85866666667,47941.287142857145,51089.925,46927.04222222222,57220.71599999999,51303.749375963715
2020-08-01,2020-09-01,6896,4628099.28,75163.927,60606.062000000005,61430.038041,45257.77357142857,51480.7174375,41322.315,60055.0978,56473.70440713265
2020-09-01,2020-10-01,9573,4558404.8,65527.069,62040.0437,61728.39833333333,52503.05528571429,52816.89375,42735.045000000006,56980.06,56332.937867006796
2020-10-01,2020-11-01,10068,4440085.6391,56980.06,62108.265400000004,51756.887833333334,52503.05528571429,53240.74356250001,47483.38333333333,48433.05100000001,53215.063773554415
2020-11-01,2020-12-01,8349,4501424.74,41366.56387500001,61810.56154999999,49857.5525,53370.791000000005,52668.54375,59829.063,47752.812999999995,52379.41266785715
2020-12-01,2021-01-01,8717,4775281.3,44013.44562500001,65730.3426,58851.229166666664,55778.49585714286,52966.10625,74906.37333333334,49296.17,57363.166118877554
2021-01-01,2021-02-01,8820,5056180.2,56497.18000000001,67415.736,61205.278333333335,56139.65158571429,54073.038250000005,75329.57333333333,53370.791,60575.89264319727
2021-02-01,2021-03-01,7888,4989073.45279,40028.09325,67415.736,60607.12666666667,55778.49585714286,54424.161875000005,76466.92277777779,51532.0275,58036.08056094105
2021-03-01,2021-04-01,7351,4930361.55,40505.05437499999,67226.88,59290.37333333333,57699.95357142857,57773.1,78586.97777777778,47486.3975,58366.96236536281
2021-04-01,2021-05-01,7636,5322128.0,52926.428499999995,72022.158,58961.89841666667,62024.8,59018.96187499999,78586.97777777778,47619.04,61594.32350992063
2021-05-01,2021-06-01,7738,5718156.97,41100.825,78048.7776,57536.150333333324,65550.58778571428,67635.7240625,79716.833,46612.4644,62314.48031164966
2021-06-01,2021-07-01,7289,5962059.399999999,41095.89,79452.05399999999,56458.895833333336,69686.40857142856,74491.8671625,85817.52166666665,47123.2872,64875.132061989796
2021-07-01,2021-08-01,6317,6027397.2,41995.665,88071.5385,54639.047249999996,70450.09714285714,75342.465,87519.025,45576.405,66227.74898469388
2021-08-01,2021-09-01,5922,6166219.5,43010.752,80645.16,66308.24266666667,77656.87071428572,71236.558,86386.65,42953.096,66885.33276870749
2021-09-01,2021-10-01,4210,6100796.0,44354.838,75268.816,64516.128000000004,69124.42285714287,67204.3,83996.46666666667,64986.74,67064.53021768708
2021-10-01,2021-11-01,1187,5768037.366,59681.036869999996,74270.56000000001,37135.280000000006,41682.45714285714,32824.935000000005,76628.35555555555,64986.74,55315.623509773235
2021-11-01,2021-12-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-01,2022-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,2022-02-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-01,2022-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,2022-04-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,2022-05-01,27214,4967948.399999999,64102.56,83333.328,64102.55999999999,59523.805714285714,68088.93795,85113.95466666667,80128.2,72056.19233299319
2022-05-01,2022-06-01,27214,4967948.399999999,64102.56,83333.328,64102.55999999999,59523.805714285714,68088.93795,85113.95466666667,80128.2,72056.19233299319
2022-06-01,2022-07-01,25550,4014598.5,68430.65625,83941.605,60827.25,54744.525,82116.7875,64882.4,68430.65625,69053.41142857143
2022-07-01,2022-08-01,50014,4124087.55,63868.6125,82089.546,62189.049999999996,53304.899999999994,75729.92624999999,66334.98666666666,76642.335,68594.19377380953
2022-08-01,2022-09-01,49201,4067163.8699999996,65298.50249999999,78358.203,65298.50249999999,58102.34099999999,67397.38293749999,68407.95499999999,78358.203,68745.86999107142
2022-09-01,2022-10-01,54562,3932583.9000000004,71361.93487499999,79910.104848,65543.065,58854.997142857144,63202.24125000001,70480.92333333332,68222.78474999999,68225.15017131293
2022-10-01,2022-11-01,60000,4007490.2600000002,70223.7761705,78651.67800000001,65543.065,58854.997142857144,63202.24125000001,66583.43111111112,59925.08800000001,66140.61095349547
2022-11-01,2022-12-01,60000,3745318.0000000005,64606.73550000001,77902.6144,62421.966666666674,56179.770000000004,63553.3648125,57423.215576,58967.784719200004,63007.92166776668
2022-12-01,2023-01-01,60000,3707864.8200000003,58988.75850000001,74906.36000000002,62421.966666666674,56179.770000000004,64606.73550000001,59508.94155555556,66666.66040000001,63325.59894603176
2023-01-01,2023-02-01,60000,4475655.010000001,65543.065,74898.86936400001,68664.16333333334,61530.22428571429,73970.03050000001,74906.36,80711.60290000001,71460.61648329251
2023-02-01,2023-03-01,60000,4681647.5,65543.065,72659.1692,68664.16333333334,61530.22428571429,74906.36000000002,76987.09222222223,82396.996,71812.43857732425
2023-03-01,2023-04-01,60000,3970037.0800000005,56179.770000000004,71161.042,59300.86833333333,58854.997142857144,64606.73550000001,68664.16333333333,71161.042,64275.51690136054
2023-04-01,2023-05-01,60000,3820224.3600000003,55149.807550000005,71910.10560000001,59300.86833333333,61530.22428571429,64261.463996875005,67831.87044444446,65543.065,63646.77217290959
2023-05-01,2023-06-01,60000,4307115.7,60861.4175,77153.55080000001,65543.065,64205.45142857144,66713.47687500001,74906.36,67415.724,68114.14937193877
2023-06-01,2023-07-01,60000,4119849.8000000003,65543.065,71161.042,65543.065,64205.45142857144,66713.47687500001,74906.36,67415.724,67926.88347193877
2023-07-01,2023-08-01,60000,4681647.5,63976.380000000005,74157.2964,62109.85683333334,64205.45142857144,67883.88875000001,74906.36,73033.701,68610.41920170069
2023-08-01,2023-09-01,60000,4868913.4,66947.55925,76404.4872,61797.747,64205.45142857144,67883.88875000001,75322.50644444446,88014.97300000001,71510.94472471657
